site,grid,fac,area,s_area,surf_complex,max_height,min_height,height_diff,mean_slope,sd_slope,mean_slope2,sd_slope2,mean_vrm,sd_vrm,mean_curv,sd_curv,max_curv,min_curv,mean_pro_curv,sd_pro_curv,max_pro_curv,min_pro_curv,mean_plan_curv,sd_plan_curv,max_plan_curv,min_plan_curv,d32,,
CC,5,4,10.6496,27.18080314,2.552283948,9.690083861,6.917297184,2.772786677,41.51098743,0.397101808,1.76244308,2.65336235,0.098731349,0.104821612,-0.033623992,170.4296157,1738.450471,-2068.601847,-1.128830229,1100.390612,-946.728246,107.417403,-1.161411371,84.98007402,-968.2112348,1180.395416,2.311857534,,
CC,5,8,10.6496,21.43061318,2.012339729,9.541449755,6.921598859,2.619850896,38.97257506,0.375507154,1.3405789,1.608973354,0.083680638,0.079845825,0.023950321,50.54485285,347.668652,-341.5805846,-0.808906752,201.6641543,-202.9851556,32.62277877,-0.846869276,24.75745335,-217.7562245,241.524467,2.311857534,,
CC,5,16,10.6496,17.76708342,1.668333404,9.235061143,6.93306116,2.301999982,36.4593155,0.354118646,1.076405658,1.05475707,0.079550091,0.074661461,-0.12971516,16.36042485,69.97121331,-66.10061697,-0.401056634,43.55311931,-56.46313201,11.11284488,-0.594142154,7.318398045,-44.91035418,26.91422121,2.311857534,,
CC,5,32,10.6496,15.23036592,1.430135021,9.116901457,6.948362793,2.168538664,32.347322,0.322641852,0.851869847,0.669049961,0.080659308,0.048260724,0.261640089,5.197950925,11.56894489,-14.1460472,-0.229910624,6.953467784,-9.256251535,3.326027663,0.008952722,2.607312112,-7.192579418,8.394632949,2.311857534,,
CC,6,1,20.0704,245.8118335,12.24748054,-7.058413029,-11.88657379,4.828160763,60.19098452,0.423110615,9.848843171,21.08254447,0.166996309,0.191230461,-0.140335,4967.747464,101170.6448,-103409.7481,27.33444777,55557.69987,-49985.61326,3120.948545,27.19411277,2573.503603,-55851.96307,51185.0315,2.526734496,,
CC,6,2,20.0704,176.4149357,8.789806665,-7.098285675,-11.69789672,4.599611044,59.90804959,0.40921544,6.862982477,11.93725333,0.185364456,0.185781721,-0.187503473,1550.250835,20599.65342,-22908.87952,3.327716093,16088.86444,-12061.51158,957.4326667,3.14021262,798.1699944,-11887.03559,11788.69552,2.526734496,,
CC,6,4,20.0704,122.1568177,6.086416698,-7.148817152,-11.63371509,4.484897941,58.64203301,0.390043746,4.648020605,6.406561822,0.195630558,0.175034158,-0.305959044,452.6359825,4163.645431,-4465.330876,0.071314796,2817.318099,-2873.495896,279.42881,-0.234644247,233.7585812,-3413.953147,2510.897846,2.526734496,,
CC,6,8,20.0704,83.04402942,4.137636989,-7.202776574,-11.592658,4.389881425,55.64796909,0.37180499,3.09734937,3.402926152,0.193159645,0.15987749,-0.188200114,131.0462659,845.1991621,-926.41189,-1.837192219,457.3298458,-516.489747,80.23410285,-2.025392333,67.06084321,-516.6506071,468.7464593,2.526734496,,
CC,6,16,20.0704,57.69784563,2.87477308,-7.468623592,-11.52887572,4.060252132,51.04817163,0.35106017,2.038748973,1.783535142,0.183161748,0.132610969,-0.115891727,39.48170512,164.323546,-167.676055,0.034814726,93.25712574,-100.2412728,23.17187711,-0.081077001,21.23063694,-107.025524,102.7095181,2.526734496,,
CC,6,32,20.0704,40.30973249,2.008416997,-7.845243714,-11.49753065,3.652286934,45.37370837,0.292628878,1.342274013,0.82737322,0.144620405,0.079158458,0.070168921,11.33914017,37.8543246,-31.22375899,-0.344849689,18.41628789,-24.73573931,6.571283996,-0.274680768,6.085570934,-19.76304305,18.86091406,2.526734496,,
CC,7,1,18.8416,94.77644301,5.030169572,-6.89346838,-10.38173866,3.488270283,46.91884902,0.427321326,3.891858037,9.269201745,0.100481688,0.148665362,-1.304614019,2086.411914,56025.42877,-51347.59903,18.12848719,24199.87788,-27459.67337,1334.513425,16.82274823,1058.896803,-30450.91347,29695.5832,2.352375942,,
CC,7,2,18.8416,73.08606869,3.878973584,-6.932415724,-10.34405255,3.411636829,46.44754264,0.415137847,2.892625743,5.526868328,0.111823748,0.140687432,-1.311169966,646.9742209,10510.85949,-12077.86679,4.800496728,6924.939013,-6017.352488,410.9141997,3.478301216,329.6885407,-9159.807554,8128.362803,2.352375942,,
CC,7,4,18.8416,55.9925934,2.971753641,-6.954549402,-10.33674616,3.382196754,45.02395997,0.394096432,2.123926811,3.269337174,0.110960908,0.123641834,-0.79276911,200.4285956,2287.712172,-2380.714938,1.487957874,1188.048016,-1387.327073,127.0271929,0.652966318,99.63484214,-1380.518144,1510.320779,2.352375942,,
